n,t,d,m,time_ms,rss_delta_kb
1024,densa,D0,a,708.857,8192
1024,densa,D0,b,719.899,8192
1024,densa,D0,c,691.68,8192
1024,densa,D10,a,702.914,8192
1024,densa,D10,b,740.062,8192
1024,densa,D10,c,713.292,8192
1024,diagonal,D0,a,720.842,8192
1024,diagonal,D0,b,716.018,8192
1024,diagonal,D0,c,745.655,8192
1024,diagonal,D10,a,747.033,8192
1024,diagonal,D10,b,741.108,8192
1024,diagonal,D10,c,713.708,8192
1024,dispersa,D0,a,716.403,8192
1024,dispersa,D0,b,722.738,8192
1024,dispersa,D0,c,719.082,8192
1024,dispersa,D10,a,708.005,8192
1024,dispersa,D10,b,725.754,8192
1024,dispersa,D10,c,709.077,8192
16,densa,D0,a,0.0027,0
16,densa,D0,b,0.003,0
16,densa,D0,c,0.0028,0
16,densa,D10,a,0.0027,0
16,densa,D10,b,0.0044,0
16,densa,D10,c,0.0027,0
16,diagonal,D0,a,0.0026,0
16,diagonal,D0,b,0.0036,0
16,diagonal,D0,c,0.0028,0
16,diagonal,D10,a,0.0027,0
16,diagonal,D10,b,0.0028,0
16,diagonal,D10,c,0.0025,0
16,dispersa,D0,a,0.0026,0
16,dispersa,D0,b,0.0033,0
16,dispersa,D0,c,0.0027,0
16,dispersa,D10,a,0.0049,0
16,dispersa,D10,b,0.0027,0
16,dispersa,D10,c,0.0025,0
256,densa,D0,a,8.5459,512
256,densa,D0,b,8.9465,512
256,densa,D0,c,8.5512,512
256,densa,D10,a,8.9349,512
256,densa,D10,b,8.874,512
256,densa,D10,c,8.6729,512
256,diagonal,D0,a,8.741,512
256,diagonal,D0,b,9.0455,512
256,diagonal,D0,c,8.8489,512
256,diagonal,D10,a,8.6346,512
256,diagonal,D10,b,8.5354,512
256,diagonal,D10,c,8.9468,512
256,dispersa,D0,a,8.483,512
256,dispersa,D0,b,8.6601,512
256,dispersa,D0,c,8.6061,512
256,dispersa,D10,a,8.6141,512
256,dispersa,D10,b,8.6232,512
256,dispersa,D10,c,9.0189,512
64,densa,D0,a,0.1542,0
64,densa,D0,b,0.1559,0
64,densa,D0,c,0.1558,0
64,densa,D10,a,0.1551,0
64,densa,D10,b,0.1561,0
64,densa,D10,c,0.1594,0
64,diagonal,D0,a,0.1561,0
64,diagonal,D0,b,0.1557,0
64,diagonal,D0,c,0.2041,0
64,diagonal,D10,a,0.1583,0
64,diagonal,D10,b,0.1609,0
64,diagonal,D10,c,0.1555,0
64,dispersa,D0,a,0.156,0
64,dispersa,D0,b,0.1848,0
64,dispersa,D0,c,0.2294,0
64,dispersa,D10,a,0.1554,0
64,dispersa,D10,b,0.178,0
64,dispersa,D10,c,0.1575,0
1024,densa,D0,a,769.212,8192
1024,densa,D0,b,738.584,8192
1024,densa,D0,c,702.205,8192
1024,densa,D10,a,679.025,8192
1024,densa,D10,b,718.342,8192
1024,densa,D10,c,736.509,8192
1024,diagonal,D0,a,726.096,8192
1024,diagonal,D0,b,727.124,8192
1024,diagonal,D0,c,688.561,8192
1024,diagonal,D10,a,694.59,8192
1024,diagonal,D10,b,730.511,8192
1024,diagonal,D10,c,752.646,8192
1024,dispersa,D0,a,700.413,8192
1024,dispersa,D0,b,700.493,8192
1024,dispersa,D0,c,727.171,8192
1024,dispersa,D10,a,688.83,8192
1024,dispersa,D10,b,737.15,8192
1024,dispersa,D10,c,695.797,8192
16,densa,D0,a,0.003,0
16,densa,D0,b,0.0032,0
16,densa,D0,c,0.0032,0
16,densa,D10,a,0.0029,0
16,densa,D10,b,0.003,0
16,densa,D10,c,0.0029,0
16,diagonal,D0,a,0.0029,0
16,diagonal,D0,b,0.0043,0
16,diagonal,D0,c,0.0028,0
16,diagonal,D10,a,0.0031,0
16,diagonal,D10,b,0.0031,0
16,diagonal,D10,c,0.0038,0
16,dispersa,D0,a,0.0032,0
16,dispersa,D0,b,0.0028,0
16,dispersa,D0,c,0.0033,0
16,dispersa,D10,a,0.003,0
16,dispersa,D10,b,0.0028,0
16,dispersa,D10,c,0.0044,0
256,densa,D0,a,8.5142,512
256,densa,D0,b,9.1441,512
256,densa,D0,c,8.6115,512
256,densa,D10,a,8.6101,512
256,densa,D10,b,8.8343,512
256,densa,D10,c,8.7228,512
256,diagonal,D0,a,8.8606,512
256,diagonal,D0,b,8.6693,512
256,diagonal,D0,c,9.1961,512
256,diagonal,D10,a,8.5227,512
256,diagonal,D10,b,8.4702,512
256,diagonal,D10,c,8.9659,512
256,dispersa,D0,a,10.3622,512
256,dispersa,D0,b,8.5079,512
256,dispersa,D0,c,8.6904,512
256,dispersa,D10,a,9.0392,512
256,dispersa,D10,b,8.6364,512
256,dispersa,D10,c,8.6216,512
64,densa,D0,a,0.158,0
64,densa,D0,b,0.1867,0
64,densa,D0,c,0.1559,0
64,densa,D10,a,0.1603,0
64,densa,D10,b,0.1558,0
64,densa,D10,c,0.1598,0
64,diagonal,D0,a,0.1984,0
64,diagonal,D0,b,0.1608,0
64,diagonal,D0,c,0.1579,0
64,diagonal,D10,a,0.1577,0
64,diagonal,D10,b,0.1594,0
64,diagonal,D10,c,0.1604,0
64,dispersa,D0,a,0.1579,0
64,dispersa,D0,b,0.1578,0
64,dispersa,D0,c,0.158,0
64,dispersa,D10,a,0.159,0
64,dispersa,D10,b,0.1586,0
64,dispersa,D10,c,0.1634,0
